Accuracy,Precision,Recall
0.7455968688845401,0.11678832116788321,0.64
0.7524461839530333,0.13090909090909092,0.72
0.723091976516634,0.13249211356466878,0.84
0.726027397260274,0.12418300653594772,0.76
0.7191780821917808,0.12852664576802508,0.82
0.7279843444227005,0.12251655629139073,0.74
0.7221135029354208,0.12738853503184713,0.8
0.7221135029354208,0.12012987012987013,0.74
0.7152641878669276,0.11746031746031746,0.74
0.7407045009784736,0.13559322033898305,0.8
0.7426614481409002,0.13402061855670103,0.78
0.7093933463796478,0.13353115727002968,0.9
0.7211350293542075,0.12933753943217666,0.82
0.7328767123287672,0.14603174603174604,0.92
0.7270058708414873,0.11960132890365449,0.72
0.7524461839530333,0.12546125461254612,0.68
0.7328767123287672,0.12956810631229235,0.78
0.7367906066536204,0.14098360655737704,0.86
0.7201565557729941,0.13125,0.84
0.7191780821917808,0.1398176291793313,0.92
0.7181996086105675,0.13043478260869565,0.84
0.713307240704501,0.13069908814589665,0.86
0.723091976516634,0.12052117263843648,0.74
0.735812133072407,0.13815789473684212,0.84
0.726027397260274,0.13836477987421383,0.88
0.7436399217221135,0.12937062937062938,0.74
0.726027397260274,0.12903225806451613,0.8
0.6956947162426614,0.13031161473087818,0.92
0.7240704500978473,0.13522012578616352,0.86
0.7318982387475538,0.13398692810457516,0.82
0.7309197651663405,0.13114754098360656,0.8
0.723091976516634,0.12779552715654952,0.8
0.7544031311154599,0.1423487544483986,0.8
0.7191780821917808,0.12618296529968454,0.8
0.7084148727984344,0.12650602409638553,0.84
0.7446183953033269,0.1423728813559322,0.84
0.7348336594911937,0.1353135313531353,0.82
0.7318982387475538,0.13398692810457516,0.82
0.7407045009784736,0.13804713804713806,0.82
0.7162426614481409,0.12264150943396226,0.78
0.7201565557729941,0.13125,0.84
0.7015655577299413,0.12389380530973451,0.84
0.738747553816047,0.13712374581939799,0.82
0.7211350293542075,0.12698412698412698,0.8
0.7407045009784736,0.13058419243986255,0.76
0.7113502935420744,0.12074303405572756,0.78
0.7211350293542075,0.12698412698412698,0.8
0.7123287671232876,0.12345679012345678,0.8
0.7495107632093934,0.1423611111111111,0.82
0.7270058708414873,0.11705685618729098,0.7
0.7103718199608611,0.12951807228915663,0.86
0.7025440313111546,0.11976047904191617,0.8
0.7084148727984344,0.12650602409638553,0.84
0.713307240704501,0.11912225705329153,0.76
0.7407045009784736,0.14046822742474915,0.84
0.726027397260274,0.12418300653594772,0.76
0.7113502935420744,0.1276595744680851,0.84
0.7181996086105675,0.12578616352201258,0.8
0.7407045009784736,0.13058419243986255,0.76
0.7221135029354208,0.12012987012987013,0.74
0.7054794520547946,0.12979351032448377,0.88
0.726027397260274,0.12418300653594772,0.76
0.7377690802348337,0.14144736842105263,0.86
0.7270058708414873,0.12459016393442623,0.76
0.7465753424657534,0.1505016722408027,0.9
0.7299412915851272,0.1331168831168831,0.82
0.7544031311154599,0.14982578397212543,0.86
0.7436399217221135,0.1267605633802817,0.72
0.7221135029354208,0.13664596273291926,0.88
0.7064579256360078,0.12574850299401197,0.84
0.7142857142857143,0.13109756097560976,0.86
0.7250489236790607,0.13564668769716087,0.86
0.735812133072407,0.13087248322147652,0.78
0.7367906066536204,0.1362126245847176,0.82
0.7270058708414873,0.10921501706484642,0.64
0.726027397260274,0.12171052631578948,0.74
0.7250489236790607,0.11371237458193979,0.68
0.7289628180039139,0.13738019169329074,0.86
0.7250489236790607,0.12861736334405144,0.8
0.7348336594911937,0.14006514657980457,0.86
0.6996086105675147,0.11869436201780416,0.8
0.7465753424657534,0.14814814814814814,0.88
0.7084148727984344,0.1196319018404908,0.78
0.7240704500978473,0.13522012578616352,0.86
0.7289628180039139,0.12786885245901639,0.78
0.7377690802348337,0.1461038961038961,0.9
0.7035225048923679,0.12462908011869436,0.84
0.6898238747553816,0.10850439882697947,0.74
0.7299412915851272,0.11564625850340136,0.68
0.7093933463796478,0.10543130990415335,0.66
0.7377690802348337,0.11888111888111888,0.68
0.7201565557729941,0.12420382165605096,0.78
0.7338551859099804,0.13725490196078433,0.84
0.7152641878669276,0.1337386018237082,0.88
0.7123287671232876,0.12345679012345678,0.8
0.7201565557729941,0.1289308176100629,0.82
0.7172211350293543,0.1345565749235474,0.88
0.7142857142857143,0.12883435582822086,0.84
0.7211350293542075,0.12698412698412698,0.8
0.7221135029354208,0.11764705882352941,0.72
0.738747553816047,0.13468013468013468,0.8
0.7377690802348337,0.1342281879194631,0.8
0.7250489236790607,0.13333333333333333,0.84
0.7338551859099804,0.13,0.78
0.735812133072407,0.13815789473684212,0.84
0.7279843444227005,0.1346153846153846,0.84
